;Глубина манометра;Dшт;Руст;Рзаб;Рлин;Руст_2;Рзаб_2;Рлин_2;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды_2;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб_2;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ
77;3277.8;11.11;271.55;365.7;103.6;271.55;372.7;102.9;45.3;;106.47;46.1;460.41;117.3;0.6;485.34;2740.0;152.8;3.3;44.5;40.35;53.9;52.7;103.2;101.85;;790.0;;0.67;;201.0
78;3277.8;12.7;254.33;354.5;104.1;254.33;364.1;103.8;50.3;;106.4;50.5;569.07;138.4;1.6;598.49;3730.0;196.5;0.6;44.5;40.35;53.9;52.7;102.7;101.36;;787.0;;0.67;;191.0
79;3277.8;14.3;239.13;345.9;105.8;239.13;354.6;104.0;53.5;;106.7;54.0;648.1;158.0;1.8;681.69;4726.0;232.4;1.7;44.5;40.35;53.9;52.7;103.1;101.75;;787.0;;0.67;;192.0
80;3276.0;7.5;268.0;370.04;95.0;268.0;370.1;95.4;56.0;28.6;104.98;30.4;246.61;69.9;1.2;261.47;1967.0;114.7;1.1;44.5;39.44;48.3;45.6;94.3;93.07;;785.0;;0.67;;222.0
81;3276.0;9.53;262.0;364.68;94.9;262.0;364.6;94.9;62.0;36.3;105.18;37.5;350.09;94.4;1.4;370.16;2970.0;154.5;1.4;44.5;39.44;48.3;45.6;93.5;92.28;;785.0;;0.67;;212.0
82;3276.0;11.11;252.0;357.12;97.0;252.0;357.0;96.9;66.0;42.8;105.24;43.7;452.11;117.6;1.4;477.12;3869.0;196.7;1.4;44.5;39.44;48.3;45.6;95.3;94.05;;785.0;;0.67;;204.0
83;3276.0;12.7;237.4;347.44;95.7;238.0;347.5;95.8;70.0;47.5;105.23;47.9;562.2;142.0;2.1;592.39;5012.0;235.7;2.0;44.5;39.44;48.3;45.6;94.2;92.97;;785.0;;0.67;;198.0
84;3276.0;14.3;220.0;337.88;99.8;220.0;337.7;99.3;70.0;51.8;105.16;52.1;653.25;154.7;2.3;686.15;5733.0;264.3;2.4;44.5;39.44;48.3;45.6;98.5;97.21;;785.0;;0.67;;186.0
85;3284.0;7.94;241.12;335.2;88.7;241.0;335.5;89.0;51.0;27.0;104.68;27.2;215.34;55.4;1.1;226.54;1773.0;93.1;1.1;44.5;35.28;40.5;41.6;89.7;88.53;;782.0;;0.66;;201.0
86;3284.0;9.53;240.0;328.1;91.2;240.0;328.4;91.4;59.1;34.9;104.84;35.7;312.61;72.7;1.9;325.43;2750.0;119.2;2.0;44.5;35.28;40.5;41.6;88.9;87.74;;782.0;;0.66;;182.0
87;3284.0;11.11;229.0;318.0;98.0;228.0;318.3;98.9;63.3;41.4;104.85;42.5;409.23;86.3;3.5;424.74;3583.0;143.9;3.5;44.5;35.28;40.5;41.6;91.0;89.81;;782.0;;0.66;;165.0
88;3284.0;12.7;215.0;307.8;98.6;215.0;308.1;97.2;65.0;45.8;104.78;46.3;479.09;93.5;4.7;495.63;4165.0;156.8;4.8;44.5;35.28;40.5;41.6;94.4;93.17;;782.0;;0.66;;153.0
89;3284.0;14.29;198.0;293.6;98.5;197.0;293.9;98.4;66.9;49.8;104.63;50.5;568.5;106.6;6.4;587.36;5113.0;174.3;6.5;44.5;35.28;40.5;41.6;94.0;92.77;;782.0;;0.66;;147.0
90;3288.6;7.94;231.23;309.1;92.6;230.0;307.1;92.7;51.0;;104.4;28.1;215.8;50.5;0.45;224.86;1759.0;84.7;0.4;48.37;33.21;;;89.9;88.72;;779.6;;0.67;;182.0
91;3288.6;11.11;217.2;293.9;93.1;215.0;293.9;93.3;60.0;;104.6;41.3;387.68;72.0;1.5;403.75;3454.0;123.0;1.6;48.37;33.21;;;90.8;89.61;;779.6;;0.67;;145.0
92;3289.8;9.53;199.0;271.0;95.95;199.0;272.3;94.64;56.0;;103.9;36.16;264.3;47.6;1.0;274.94;2223.0;80.0;1.1;48.4;;39.9;;94.0;92.77;;772.6;;0.67;;139.0
